"Timestamp","Priority","Type","Subtype","Description","Source","IP Address","User","File Name","File Hash","Process Name","Rule Name","Ban Name"
"Oct 10 2014 03:10:03 PM","Notice","Policy Enforcement","Execution block (unapproved file)","File 'c:\windows\assembly\gac_msil\smartlogic.semaphore\1.0.0.0__79c3223b893eb0c1\smartlogic.semaphore.dll' [617c49a369e5367251ab7114410a87265f0711fb0da9888eb86baac12363011d] was blocked because it was unapproved.","FORDFOUNDATION\FFAZU3235","10.4.2.11","FORDFOUNDATION\ffnetspworker_dev","smartlogic.semaphore.dll","617c49a369e5367251ab7114410a87265f0711fb0da9888eb86baac12363011d","owstimer.exe","Block unapproved executables",""
"Oct 10 2014 03:07:26 PM","Notice","Policy Enforcement","Execution block (unapproved file)","File 'c:\windows\assembly\gac_msil\smartlogic.semaphore\1.0.0.0__79c3223b893eb0c1\smartlogic.semaphore.dll' [617c49a369e5367251ab7114410a87265f0711fb0da9888eb86baac12363011d] was blocked because it was unapproved.","FORDFOUNDATION\FFAZU3235","10.4.2.11","FORDFOUNDATION\ffnetspworker_dev","smartlogic.semaphore.dll","617c49a369e5367251ab7114410a87265f0711fb0da9888eb86baac12363011d","owstimer.exe","Block unapproved executables",""
"Oct 10 2014 03:04:48 PM","Notice","Policy Enforcement","Execution block (unapproved file)","File 'c:\windows\assembly\gac_msil\smartlogic.semaphore\1.0.0.0__79c3223b893eb0c1\smartlogic.semaphore.dll' [617c49a369e5367251ab7114410a87265f0711fb0da9888eb86baac12363011d] was blocked because it was unapproved.","FORDFOUNDATION\FFAZU3235","10.4.2.11","FORDFOUNDATION\ffnetspworker_dev","smartlogic.semaphore.dll","617c49a369e5367251ab7114410a87265f0711fb0da9888eb86baac12363011d","owstimer.exe","Block unapproved executables",""
"Oct 10 2014 03:02:10 PM","Notice","Policy Enforcement","Execution block (unapproved file)","File 'c:\windows\assembly\gac_msil\smartlogic.semaphore\1.0.0.0__79c3223b893eb0c1\smartlogic.semaphore.dll' [617c49a369e5367251ab7114410a87265f0711fb0da9888eb86baac12363011d] was blocked because it was unapproved.","FORDFOUNDATION\FFAZU3235","10.4.2.11","FORDFOUNDATION\ffnetspworker_dev","smartlogic.semaphore.dll","617c49a369e5367251ab7114410a87265f0711fb0da9888eb86baac12363011d","owstimer.exe","Block unapproved executables",""
"Oct 10 2014 02:59:32 PM","Notice","Policy Enforcement","Execution block (unapproved file)","File 'c:\windows\assembly\gac_msil\smartlogic.semaphore\1.0.0.0__79c3223b893eb0c1\smartlogic.semaphore.dll' [617c49a369e5367251ab7114410a87265f0711fb0da9888eb86baac12363011d] was blocked because it was unapproved.","FORDFOUNDATION\FFAZU3235","10.4.2.11","FORDFOUNDATION\ffnetspworker_dev","smartlogic.semaphore.dll","617c49a369e5367251ab7114410a87265f0711fb0da9888eb86baac12363011d","owstimer.exe","Block unapproved executables",""
"Oct 10 2014 02:56:55 PM","Notice","Policy Enforcement","Execution block (unapproved file)","File 'c:\windows\assembly\gac_msil\smartlogic.semaphore\1.0.0.0__79c3223b893eb0c1\smartlogic.semaphore.dll' [617c49a369e5367251ab7114410a87265f0711fb0da9888eb86baac12363011d] was blocked because it was unapproved.","FORDFOUNDATION\FFAZU3235","10.4.2.11","FORDFOUNDATION\ffnetspworker_dev","smartlogic.semaphore.dll","617c49a369e5367251ab7114410a87265f0711fb0da9888eb86baac12363011d","owstimer.exe","Block unapproved executables",""
"Oct 10 2014 02:55:43 PM","Notice","Policy Enforcement","Execution block (unapproved file)","File 'i:\i-vu pro setup disk\common\utilities\alarm_notification_client\popupalarminstall.exe' [0809584b9bf7188b5604752f5fe363b2d2c5f01640dd51e9a32a8eddc35cc5ab] would have blocked if policy setting were not in Report Only mode.","FORDFOUNDATION\NYCWS5118-0142","172.20.11.131","NT AUTHORITY\SYSTEM","popupalarminstall.exe","0809584b9bf7188b5604752f5fe363b2d2c5f01640dd51e9a32a8eddc35cc5ab","svchost.exe","Report unapproved executables",""
"Oct 10 2014 02:55:33 PM","Notice","Policy Enforcement","Execution block (unapproved file)","File 'i:\i-vu pro setup disk\common\utilities\alarm_notification_client\popupalarminstall.exe' [0809584b9bf7188b5604752f5fe363b2d2c5f01640dd51e9a32a8eddc35cc5ab] would have blocked if policy setting were not in Report Only mode.","FORDFOUNDATION\NYCWS5118-0142","172.20.11.131","FORDFOUNDATION\adm_workstation01","popupalarminstall.exe","0809584b9bf7188b5604752f5fe363b2d2c5f01640dd51e9a32a8eddc35cc5ab","rundll32.exe","Report unapproved executables",""
"Oct 10 2014 02:54:17 PM","Notice","Policy Enforcement","Execution block (unapproved file)","File 'c:\windows\assembly\gac_msil\smartlogic.semaphore\1.0.0.0__79c3223b893eb0c1\smartlogic.semaphore.dll' [617c49a369e5367251ab7114410a87265f0711fb0da9888eb86baac12363011d] was blocked because it was unapproved.","FORDFOUNDATION\FFAZU3235","10.4.2.11","FORDFOUNDATION\ffnetspworker_dev","smartlogic.semaphore.dll","617c49a369e5367251ab7114410a87265f0711fb0da9888eb86baac12363011d","owstimer.exe","Block unapproved executables",""
"Oct 10 2014 02:51:39 PM","Notice","Policy Enforcement","Execution block (unapproved file)","File 'c:\windows\assembly\gac_msil\smartlogic.semaphore\1.0.0.0__79c3223b893eb0c1\smartlogic.semaphore.dll' [617c49a369e5367251ab7114410a87265f0711fb0da9888eb86baac12363011d] was blocked because it was unapproved.","FORDFOUNDATION\FFAZU3235","10.4.2.11","FORDFOUNDATION\ffnetspworker_dev","smartlogic.semaphore.dll","617c49a369e5367251ab7114410a87265f0711fb0da9888eb86baac12363011d","owstimer.exe","Block unapproved executables",""
