"TicketID","Description"
"1526229","Needs to unlock GBSIIQA_BUILDADMIN"
"1524670","Galaxedev1 account is not working, please check whether password/account got expired"
"1518159","I’m unable to login the ffsmq3302 server, please log off all the active connections.    Please note down the login ID before disconnecting the connection"
"1518033","GBSIIQA_BuildAdmin account locked .."
"1513898","I am using galaxedev2 account for connecting ford foundation production systems through cyber Ark. While connecting production servers  FFSMQ0334 &amp; FFSMQ0333 , I am getting below error:  attached"
"1513051","Please give Dave the admin privilege to ffsmq0523"
"1512876","Getting error while logging into Cyber ark."
"1505495","I received the following pop-up window from SEP Auto-Protect"
"1505109","Service account s.scribe was locked out."
"1503666","As a result of the Semaphore upgrade in Production that was done on July 19, the web.config file on the Web Front End has to point to the new Semaphore model.  Changing a variable in the web.config file takes less than one minute.  There may be a 10-second hiccup on FordNet/Sharepoint.  There is no need for a server nor IIS restart.  The application team (K.Kim and B.Mendoza) will perform the change around 8:30am, EST, on July 24, 2014."
"1503630","Both of the printers are offline"
"1499278","unable to access files on server"
"1497842","I am not able to access the epv.fordfound.org.       The site is stalling."
"1494863","I am unable to access ffnyc-52-517, please help."
"1492490","system center pop up"
"1491750","GBSIIQA_BuildAdmin account locked out frequently."
"1490228","Change No: 2905 no showing up in the "Waiting for QA approval list""
"1490170","Remote Access Failed on Server FFNYC0550    I am not able to access the server FFNYC0550 with the below error."
"1489235","Workflow Dll is blocked in ffnyc-52-220 machine"
"1487744","Outlook sync takes longer time"
"1487044","Trust relationship failed. Unable to login the system."
"1484244","Workstation does not POST; burning smell coming from workstation"
"1477588","The following workstation lost the trust relationship to the domain and will need to be re-added:  NYCWS4895-0243"
"1476952","Please unlock all dlls under c:\gbs windows services\wfhosting       please unlock workflow dlls at ffnyc-52-535"
"1474605","Unable to connect to Outlook"
"1472639","After Windows patches were applied to CRM servers over the weekend, the Subject of an Email Template does not populate the Subject of an Email Send.  This is a ClickDimensions functionality in CRM.   As per ClickDimensions response below, the "app.clickdimensions.com" should be in IE's trusted site.  I have no way of checking this because I cannot scroll down the Trusted Site list (it is locked down by policy).  Please confirm if this is so; if not, please include it.   Thanks.                Bet Mendoza"
"1469574","Cannot access EPV  I am getting an authentication failure when I try to login."
"1469386","We are getting the below errors on ffnyc0355 (SharePoint SQL server).    We are not aware of this account.  Please let us know who owns this service account.        Thank you."
"1466468","need help in setting upa webex meeting"
"1460207","I am trying to access the VPN from home.     But I couldn't.     Please help me."
"1458056","My Documents folder is gone.   Please help me.   Kwang"
"1442471","This seems to be an everyday occurrence. Please unlock account ffponce."
"1437793","ADM_GBS account is getting locked frequently. Please check"
"1434508","Unable to reach smtp.fordfound.org from FFAZU3504"
"1434246","As shown below in CyberArk, I am currently locked out of my ffponce account and can’t connect to the ERP servers. This also happened several times last week. I’m assuming this issue is somehow related to CyberArk. Is there any this can be corrected?"
"1431644","SmartConnect application installation issue."
"1430962","Register ERP servers with Exchange  The following servers are unable to reach smtp.fordfound.org. Please register them with Exchange:   ·            FFSMQ0504 – ERP App Server (Production)   ·            FFAZU0504 – ERP App Server (Azure)    Cheers,    Oliver"
"1430904","Please unlock my account ffponce"
"1417811","Getting errors while installing smart connect application"
"1416812","Henry Kwok having trouble in sending and receiving email from his iPhone and we came to know that after installing Mass 360 in his devise he is facing this issue."
"1416742","Hello,      My fftriunfo login account is currently locked. Kindly unlock my account. Thank you.      Cheers,   Oliver"
"1416722","Hi      My computer pop-up the Bit9 warning as below time to time.  Every time I block it, but the warning would come back.  Need instruction to stop this installation attempt permanently.  thanks"
"1415219","Mitali called in to report her lost iphone 5s - 6468535579 - AT &amp; T - New Jersey.   Please disable the device and track it."
