Ticket ID,CCL#,Description,Issue Type Reported,Owner,Priority,Current Status,Requestor name,Completion Time,Created time,Resolved On,Closed Time
"1513037","Unknown","Some Grantee names are not showing up in the Decreases to Appropriations Report     	 See attachment","FordGBS - Report Builder/DW","","4","Reassigned","Henry Kwok","","2014-07-28 16:40:06","--","--"
"1507217","1124","Updating the GBS Fiscal Status Report           For the new Board Report in October (formerly known as the docket")","FordGBS - User Interface","","4","Reassigned","Suzie Lee","","2014-07-25 10:19:24","--","--"
"1501399","1115","Grant amount not on TDL     	 Req 121628, grant amount $125,000 is GM confirmed but is not on TDL for unit confirmation.","FordGBS - TDL","","4","Reassigned","Rowena Nixon","","2014-07-22 13:54:10","--","--"
"1499206","1111","Change RPO on closed grants     	 Please update the following grants to reflect the current RPO as being J.Toomey (Grant Maker/DPG)    Request Numbers:  • 	 114627  • 	 116822  • 	 118297  • 	 120611","FordGBS - Other","","4","Reassigned","Cary Herman","","2014-07-21 14:28:52","--","--"
"1498719","1110","SharePoint Production App Server( FFNYC0550) SharePoint Logs     	 The FF.Grants.DocumenthandlingService generates the unexpected errors on the SharePoint Production Server(FFNYC0550).  I think that the document handling service program may have a logical error.  Ref attachment for the assembly information and error logs.","FordGBS - System Errors","","4","Reassigned","Kwangcheol Kim","","2014-07-21 08:16:35","--","--"
"1498708","1109","Grant location total does not match grant amount total     	 Does the location grant amount total should always match with the grant amount total?  I found a grant 118483 where this is not true. The target percentage says 100 % whereas the location is 99%. Please let me know your thoughts. Ref. email attached.","FordGBS - System Errors","K.Zhao","4","Accepted","Mitali Agrawal","","2014-07-21 09:10:24","--","--"
"1495022","1113","YOU CANT HIT BACK WITHIN GBS? CAN YOU SAVE YOUR SEARCHES? THANK YOU","FordGBS - Other","","4","Reassigned","Lisa Bennett","","2014-07-18 18:05:06","--","--"
"1494420","1114","As of GBS Build 27.1, which included CCL760, we now have the ability to tag the date of any document uploaded as Tax Material under the Grantee Files panel of the GBS Grantee Record. Previously, the Grants Processing Unit entered tax document dates in the “Description” field, in the format on the attached.  We would be interested in doing data cleanup of older tax documents by moving the date information from the “Description” field to the “Date” field.  Please run a report on GBS Grantee Record-Grantee File tax documents, convert the data in Excel and re-upload it to the “Date” field.  Please send the spreadsheet to Chris Gillespie for review prior to re-uploading the data. Please see attached.","FordGBS - Access to application","","4","Reassigned","Chris Gillespie","","2014-07-18 10:54:00","--","--"
"1494327","1107","Org Assessment was accidentially submitted with wrong approver     	 the OA for National Council of Nonprofits was submitted accidential with Approver John Kowal" instead of "Hilary Pennington".  please update"","FordGBS - Other","","4","Reassigned","Salim Sufi","","2014-07-18 09:59:25","--","--"
"1492520","1106","Unable to enter report requirements     	 I cannot enter narrative report requirement for Request 18433 for the period 11/1/2014 to 10/31/2015.  The interim financial is okay. see attached Report requirement screen shot.","FordGBS - User Interface","","4","Reassigned","Yali Gong","","2014-07-18 04:06:17","--","--"
"1492418","1105","Grant Amount not on TDL for 122988     	 User Unit Confirmed amount for above request, however it is still at Fund Request, and is not on TDL; workflow admin tool shows status of LOADED for FUND REQUEST state","FordGBS - TDL","","4","Reassigned","Dave Mazzoli","","2014-07-17 14:39:58","--","--"
"1490339","1102","Need to revise Docket Report and GBS     	 GBS needs to be updated to capture additional information to support new docket report...revised docket report needs to be created and implemented so the Feb 2015 docket can be generated via GBS....please see Docket Business Requirements document in Requirements folder    https://fordnet.fordfound.org/ts/OPER/IT/BSD/gbs/Shared%20Documents/Forms/AllItems.aspx?RootFolder=%2Fts%2FOPER%2FIT%2FBSD%2Fgbs%2FShared%20Documents%2FRequirements%2FRevised%20Docket%202014","FordGBS - Report Builder/DW","K.Zhao","4","Pending with Vendor","Cary Herman","","2014-07-16 17:16:49","--","--"
"1490183","1101","remove completed workflow data form workflow databse      	 remove  workflow data compeleted 6 months ago","FordGBS - Internal Dev Task","","4","Reassigned","Qinghua Sun","","2014-07-16 15:39:31","--","--"
"1489978","1099","Grant not showing up on TDL     	 Req# 121331 is marked Request Ready for Review, but it is not showing up on my or my Director's, Vivek Malhotra, TDL for approval.","FordGBS - Request Processing","","4","Reassigned","Jeffrey Hernandez","","2014-07-16 13:29:08","--","--"
"1489956","1098","Create a report of grantee Sort As Name and Grantee Website information     	 In order to help us do a data cleanup of the Sort As Name" and "Grantee Website" fields in the Grantee Record","FordGBS - Report Builder/DW","","4","Reassigned","Chris Gillespie","","2014-07-16 13:21:16","--","--"
"1489634","1096","unable to search grentee from easyupload    I found I am never able to upload e-mails into Grantee Profile even though it does have such a feature","FordGBS - EasyUpload/VGL Issue","","4","Reassigned","Hong Zheng","","2014-07-16 22:20:28","--","--"
"1489386","1095","Confirmed two amounts - Req# 122582 but they don't show on my TDL to Unit Confirm     Confirmed amounts of DAG to Fairfood International - Req# 122582 but they don't show on my TDL to proceed and Unit Confirm","FordGBS - System Errors","","4","Reassigned","Marina Dawoud","","2014-07-16 13:49:18","--","--"
"1487834","Unknown","Unable to change current RPO on closed grant     	 FF Super Admin is unable to update the Current Grant Maker on closed grants....system provides message saying record was successfully updated","FordGBS - User Interface","","4","Reassigned","Cary Herman","","2014-07-15 17:15:56","--","--"
"1487757","1092","culetsu, manuela     	 I cannot unit confirm req. 121407 Mozilla Foundation. it is not on my to do list. thank you","FordGBS - TDL","","4","Reassigned","Manuela Culetsu","","2014-07-15 16:44:46","--","--"
"1487579","1091","Special report needed on Article 97 charities     	 Due to recent changes in Mexico Tax Law, Grants Processing and the Mexico City office need a report of organizations registered under Article 97 [i.e., grantees with Official Gazette Mexico (Article 97 Charity)" as the "Tax Document Type" in the Grantee Record].  The report should include the following columns:    Grantee Legal Name  GBS Name    And information on the most recently-approved grant","FordGBS - Report Builder/DW","","4","Reassigned","Chris Gillespie","","2014-07-15 15:29:41","--","--"
"1487030","1090","Copy saved queries to another users profile     	 Please copy all saved queries from Wanda Peguero and replicate them to Rosalie Mistades profile","FordGBS - Lists and Filters","","4","Reassigned","Cary Herman","","2014-07-15 10:48:15","--","--"
"1485709","1103","I found I am never able to upload e-mails into Grantee Profile even though it does have such a feature.  Would you mind looking into this when you have a chance?  Many thanks.","FordGBS - EasyUpload/VGL Issue","","4","Reassigned","Hong Zheng","","2014-07-15 11:56:16","--","--"
"1485016","1089","Grant/Grantee search on Fundacion     	 In order for a search on Fundacion" to work","FordGBS - Lists and Filters","","4","Reassigned","Deborah Bloom","","2014-07-14 17:19:25","--","--"
"1467598","1081","transaction future dated to calendar month end date were including in the date's reports        the future date payment transactions -- the paiddate of Jun 30th and were sent to GBS on Jun 27th, are included on Jun 30th reports.  This occurred when the transactions were date to calendar month end date","FordGBS - Dashboards","K.Zhao","4","Pending with Vendor","Hamid El Amarti","","2014-07-07 18:02:32","--","--"
"1452937","1077","permanent fix for corrupted RGA after finalization","FordGBS - EasyUpload/VGL Issue","K.Zhao","4","Pending with Vendor","Kevin Zhao","","2014-07-01 17:05:19","--","--"
"1414833","1065","workflow did not create new task due to unable to deliver" error"","FordGBS - EasyUpload/VGL Issue","K.Zhao","4","Pending with Vendor","Rowena Nixon","","2014-06-19 18:09:26","--","--"
