"TicketID","Description"
"1513037","Some Grantee names are not showing up in the Decreases to Appropriations Report     	 See attachment"
"1507217","Updating the GBS Fiscal Status Report           For the new Board Report in October (formerly known as "the docket"), the GBS Fiscal Status Report (found under FINANCIAL SERVICES &gt; YEAR END REPORTING)  must be updated so that instead of providing a breakdown by New York and Overseas cost centers, the report utilizes initiative names (NY and overseas amounts NOT separated).  Since there are 36 initiative names, there should be 36 rows plus additional rows for non-initiative and grand total amounts."
"1501399","Grant amount not on TDL     	 Req 121628, grant amount $125,000 is GM confirmed but is not on TDL for unit confirmation."
"1499206","Change RPO on closed grants     	 Please update the following grants to reflect the current RPO as being J.Toomey (Grant Maker/DPG)    Request Numbers:  • 	 114627  • 	 116822  • 	 118297  • 	 120611"
"1498719","SharePoint Production App Server( FFNYC0550) SharePoint Logs     	 The FF.Grants.DocumenthandlingService generates the unexpected errors on the SharePoint Production Server(FFNYC0550).  I think that the document handling service program may have a logical error.  Ref attachment for the assembly information and error logs."
"1498708","Grant location total does not match grant amount total     	 Does the location grant amount total should always match with the grant amount total?  I found a grant 118483 where this is not true. The target percentage says 100 % whereas the location is 99%. Please let me know your thoughts. Ref. email attached."
"1495022","YOU CANT HIT BACK WITHIN GBS? CAN YOU SAVE YOUR SEARCHES? THANK YOU"
"1494420","As of GBS Build 27.1, which included CCL760, we now have the ability to tag the date of any document uploaded as Tax Material under the Grantee Files panel of the GBS Grantee Record. Previously, the Grants Processing Unit entered tax document dates in the “Description” field, in the format on the attached.  We would be interested in doing data cleanup of older tax documents by moving the date information from the “Description” field to the “Date” field.  Please run a report on GBS Grantee Record-Grantee File tax documents, convert the data in Excel and re-upload it to the “Date” field.  Please send the spreadsheet to Chris Gillespie for review prior to re-uploading the data. Please see attached."
"1494327","Org Assessment was accidentially submitted with wrong approver     	 the OA for National Council of Nonprofits was submitted accidential with Approver "John Kowal" instead of "Hilary Pennington".  please update"
"1492520","Unable to enter report requirements     	 I cannot enter narrative report requirement for Request 18433 for the period 11/1/2014 to 10/31/2015.  The interim financial is okay. see attached Report requirement screen shot."
"1492418","Grant Amount not on TDL for 122988     	 User Unit Confirmed amount for above request, however it is still at Fund Request, and is not on TDL; workflow admin tool shows status of LOADED for FUND REQUEST state"
